model_family,model_variant,context,split,rag_mode,use_rag,seed,run_id,value,f1,gold_support,pred_support,gold_rate,pred_rate,source_file
deberta,microsoft/deberta-v3-base,doc,test,none,False,42.0,,Tradition,0.44743935309973054,196.0,175.0,0.01345322259592285,0.01201180588921683,results/logs/deberta_doc_no_rag_seed42_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,42.0,,Conformity: rules,0.4207896051974013,911.0,1090.0,0.06253002951472304,0.07481639096712198,results/logs/deberta_doc_no_rag_seed42_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,42.0,,Conformity: interpersonal,0.07709750566893422,195.0,246.0,0.013384583705127325,0.016885167135699087,results/logs/deberta_doc_no_rag_seed42_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,42.0,,Humility,0.0,30.0,0.0,0.0020591667238657424,0.0,results/logs/deberta_doc_no_rag_seed42_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,42.0,,Benevolence: caring,0.24933687002652521,324.0,430.0,0.022239000617750016,0.02951472304207564,results/logs/deberta_doc_no_rag_seed42_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,42.0,,Benevolence: dependability,0.26608187134502925,288.0,396.0,0.019768000549111125,0.027181000755027798,results/logs/deberta_doc_no_rag_seed42_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,42.0,,Universalism: concern,0.39262472885032534,735.0,1109.0,0.05044958473471069,0.07612052989223694,results/logs/deberta_doc_no_rag_seed42_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,42.0,,Universalism: nature,0.5583756345177665,293.0,495.0,0.02011119500308875,0.03397625094378475,results/logs/deberta_doc_no_rag_seed42_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,42.0,,Universalism: tolerance,0.17411764705882352,171.0,254.0,0.011737250326034732,0.017434278262063285,results/logs/deberta_doc_no_rag_seed42_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,7.0,,Self-direction: thought,0.10880829015544041,171.0,215.0,0.011737250326034732,0.01475736152103782,results/logs/deberta_doc_no_rag_seed7_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,7.0,,Self-direction: action,0.14923747276688454,512.0,1324.0,0.03514311208730867,0.09087789141327476,results/logs/deberta_doc_no_rag_seed7_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,7.0,,Stimulation,0.23885109599395316,371.0,952.0,0.02546502848513968,0.06534422403733955,results/logs/deberta_doc_no_rag_seed7_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,7.0,,Hedonism,0.25824175824175827,125.0,239.0,0.008579861349440594,0.016404694900130416,results/logs/deberta_doc_no_rag_seed7_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,7.0,,Achievement,0.35910742086144265,911.0,1016.0,0.06253002951472304,0.06973711304825314,results/logs/deberta_doc_no_rag_seed7_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,7.0,,Power: dominance,0.3251942286348502,631.0,1171.0,0.04331114009197611,0.08037614112155947,results/logs/deberta_doc_no_rag_seed7_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,7.0,,Power: resources,0.4027339642481598,805.0,1097.0,0.05525430709039742,0.07529686320269065,results/logs/deberta_doc_no_rag_seed7_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,7.0,,Face,0.16926503340757237,267.0,182.0,0.018326583842405108,0.012492278124785504,results/logs/deberta_doc_no_rag_seed7_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,7.0,,Security: personal,0.3380281690140845,352.0,429.0,0.02416088956002471,0.029446084151280114,results/logs/deberta_doc_no_rag_seed7_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,7.0,,Security: societal,0.4301282051282051,1151.0,1969.0,0.07900336330564899,0.13514997597638823,results/logs/deberta_doc_no_rag_seed7_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,7.0,,Tradition,0.4061895551257253,196.0,321.0,0.01345322259592285,0.022033083945363442,results/logs/deberta_doc_no_rag_seed7_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,7.0,,Conformity: rules,0.406807804068078,911.0,1498.0,0.06253002951472304,0.10282105841169607,results/logs/deberta_doc_no_rag_seed7_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,7.0,,Conformity: interpersonal,0.061855670103092786,195.0,96.0,0.013384583705127325,0.0065893335163703754,results/logs/deberta_doc_no_rag_seed7_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,7.0,,Humility,0.0,30.0,0.0,0.0020591667238657424,0.0,results/logs/deberta_doc_no_rag_seed7_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,7.0,,Benevolence: caring,0.25523429710867396,324.0,679.0,0.022239000617750016,0.0466058068501613,results/logs/deberta_doc_no_rag_seed7_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,7.0,,Benevolence: dependability,0.2356687898089172,288.0,654.0,0.019768000549111125,0.04488983458027318,results/logs/deberta_doc_no_rag_seed7_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,7.0,,Universalism: concern,0.40434997528423133,735.0,1288.0,0.05044958473471069,0.08840689134463588,results/logs/deberta_doc_no_rag_seed7_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,7.0,,Universalism: nature,0.5357575757575758,293.0,532.0,0.02011119500308875,0.03651588990321916,results/logs/deberta_doc_no_rag_seed7_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,7.0,,Universalism: tolerance,0.20379146919431276,171.0,251.0,0.011737250326034732,0.01722836158967671,results/logs/deberta_doc_no_rag_seed7_deberta-v3-large_test_metrics.json
